doy_local,T_soil_5,T_soil_15,T_soil_25,swc_10,swc_30
96,17.27,16.82,16.39,20.105,32.17
96.01041667,17.19,16.8,16.385,19.93,32.175
96.02083333,17.11,16.78,16.38,19.755,32.18
96.03125,17.0275,16.7675,16.3825,19.515,32.18
96.04166667,16.945,16.755,16.385,19.275,32.18
96.05208333,16.86,16.735,16.39,18.805,32.1825
96.0625,16.775,16.715,16.395,18.335,32.185
96.07291667,16.6825,16.685,16.3925,17.94,32.185
96.08333333,16.59,16.655,16.39,17.545,32.185
96.09375,16.4825,16.615,16.3825,17.4725,32.185
96.10416667,16.375,16.575,16.375,17.4,32.185
96.11458333,16.26,16.535,16.365,17.2475,32.1825
96.125,16.145,16.495,16.355,17.095,32.18
96.13541667,16.02,16.45,16.34,17.1875,32.18
96.14583333,15.895,16.405,16.325,17.28,32.18
96.15625,15.7575,16.3475,16.3075,17.9575,32.1775
96.16666667,15.62,16.29,16.29,18.635,32.175
96.17708333,15.4825,16.2225,16.26,18.415,32.17
96.1875,15.345,16.155,16.23,18.195,32.165
96.19791667,15.2375,16.0925,16.2125,18.015,32.1625
96.20833333,15.13,16.03,16.195,17.835,32.16
96.21875,15.045,15.97,16.1675,18.1375,32.16
96.22916667,14.96,15.91,16.14,18.44,32.16
96.23958333,14.9025,15.8525,16.12,19.025,32.16
96.25,14.845,15.795,16.1,19.61,32.16
96.26041667,14.81,15.7475,16.0775,19.84,32.1575
96.27083333,14.775,15.7,16.055,20.07,32.155
96.28125,14.7475,15.655,16.03,20.44,32.1525
96.29166667,14.72,15.61,16.005,20.81,32.15
96.30208333,14.705,15.575,15.9825,20.705,32.145
96.3125,14.69,15.54,15.96,20.6,32.14
96.32291667,14.66,15.5075,15.9375,21.185,32.14
96.33333333,14.63,15.475,15.915,21.77,32.14
96.34375,14.5875,15.44,15.8875,20.96,32.1425
96.35416667,14.545,15.405,15.86,20.15,32.145
96.36458333,14.4925,15.3725,15.835,20.115,32.1425
96.375,14.44,15.34,15.81,20.08,32.14
96.38541667,14.37,15.2975,15.7775,20.26,32.1375
96.39583333,14.3,15.255,15.745,20.44,32.135
96.40625,14.2475,15.215,15.715,21.185,32.135
96.41666667,14.195,15.175,15.685,21.93,32.135
96.42708333,14.1625,15.14,15.6575,22.5,32.1325
96.4375,14.13,15.105,15.63,23.07,32.13
96.44791667,14.12,15.075,15.61,23.5625,32.13
96.45833333,14.11,15.045,15.59,24.055,32.13
96.46875,14.1075,15.0175,15.5675,23.71,32.1275
96.47916667,14.105,14.99,15.545,23.365,32.125
96.48958333,14.105,14.9675,15.525,21.945,32.1225
96.5,14.105,14.945,15.505,20.525,32.12
96.51041667,14.105,14.925,15.4875,21.935,32.12
96.52083333,14.105,14.905,15.47,23.345,32.12
96.53125,14.1025,14.885,15.45,24.1825,32.1225
96.54166667,14.1,14.865,15.43,25.02,32.125
96.55208333,14.105,14.85,15.4075,27.04,32.1225
96.5625,14.11,14.835,15.385,29.06,32.12
96.57291667,14.12,14.825,15.37,29.7625,32.12
96.58333333,14.13,14.815,15.355,30.465,32.12
96.59375,14.1525,14.805,15.3325,32.6975,32.12
96.60416667,14.175,14.795,15.31,34.93,32.12
96.61458333,14.2375,14.805,15.3025,35.7575,32.125
96.625,14.3,14.815,15.295,36.585,32.13
96.63541667,14.405,14.845,15.31,35.1225,32.12
96.64583333,14.51,14.875,15.325,33.66,32.11
96.65625,14.6325,14.8925,15.3275,31.385,32.095
96.66666667,14.755,14.91,15.33,29.11,32.08
96.67708333,14.8675,14.93,15.32,28.645,32.0725
96.6875,14.98,14.95,15.31,28.18,32.065
96.69791667,15.0775,14.9825,15.3025,28.3625,32.0625
96.70833333,15.175,15.015,15.295,28.545,32.06
96.71875,15.2625,15.0525,15.295,28.665,32.055
96.72916667,15.35,15.09,15.295,28.785,32.05
96.73958333,15.445,15.1325,15.3025,28.3825,32.0425
96.75,15.54,15.175,15.31,27.98,32.035
96.76041667,15.6075,15.21,15.3175,27.32,32.035
96.77083333,15.675,15.245,15.325,26.66,32.035
96.78125,15.72,15.2825,15.3325,26.7725,32.0325
96.79166667,15.765,15.32,15.34,26.885,32.03
96.80208333,15.8,15.3575,15.3525,26.4525,32.0325
96.8125,15.835,15.395,15.365,26.02,32.035
96.82291667,15.8425,15.42,15.3725,26.1975,32.035
96.83333333,15.85,15.445,15.38,26.375,32.035
96.84375,15.8525,15.47,15.3925,26.3925,32.0375
96.85416667,15.855,15.495,15.405,26.41,32.04
96.86458333,15.86,15.515,15.4175,26.0625,32.04
96.875,15.865,15.535,15.43,25.715,32.04
96.88541667,15.8625,15.545,15.44,26.0525,32.035
96.89583333,15.86,15.555,15.45,26.39,32.03
96.90625,15.8675,15.57,15.4575,26.245,32.0275
96.91666667,15.875,15.585,15.465,26.1,32.025
96.92708333,15.885,15.5975,15.4775,25.935,32.025
96.9375,15.895,15.61,15.49,25.77,32.025
96.94791667,15.9025,15.62,15.4975,25.715,32.025
96.95833333,15.91,15.63,15.505,25.66,32.025
96.96875,15.9075,15.64,15.515,25.4675,32.0225
96.97916667,15.905,15.65,15.525,25.275,32.02
96.98958333,15.8875,15.655,15.53,25.0975,32.0225
97,15.87,15.66,15.535,24.92,32.025
97.01041667,15.835,15.65,15.5325,24.71,32.025
97.02083333,15.8,15.64,15.53,24.5,32.025
97.03125,15.7675,15.635,15.5225,24.5275,32.0225
97.04166667,15.735,15.63,15.515,24.555,32.02
97.05208333,15.6925,15.6225,15.52,24.53,32.02
97.0625,15.65,15.615,15.525,24.505,32.02
97.07291667,15.6075,15.6075,15.525,24.5025,32.02
97.08333333,15.565,15.6,15.525,24.5,32.02
97.09375,15.525,15.5875,15.5275,24.5325,32.02
97.10416667,15.485,15.575,15.53,24.565,32.02
97.11458333,15.445,15.56,15.5275,24.055,32.02
97.125,15.405,15.545,15.525,23.545,32.02
97.13541667,15.37,15.53,15.52,22.8275,32.0225
97.14583333,15.335,15.515,15.515,22.11,32.025
97.15625,15.305,15.4975,15.5125,20.4625,32.0225
97.16666667,15.275,15.48,15.51,18.815,32.02
97.17708333,15.24,15.46,15.5025,19.05,32.0225
97.1875,15.205,15.44,15.495,19.285,32.025
97.19791667,15.1825,15.43,15.4925,23.3875,32.025
97.20833333,15.16,15.42,15.49,27.49,32.025
97.21875,15.1225,15.4025,15.485,27.29,32.0225
97.22916667,15.085,15.385,15.48,27.09,32.02
97.23958333,15.04,15.3675,15.475,26.1425,32.0175
97.25,14.995,15.35,15.47,25.195,32.015
97.26041667,14.92,15.32,15.4525,24.7475,32.0125
97.27083333,14.845,15.29,15.435,24.3,32.01
97.28125,14.7525,15.2525,15.415,23.67,32.01
97.29166667,14.66,15.215,15.395,23.04,32.01
97.30208333,14.5925,15.1875,15.385,25.8925,32.0075
97.3125,14.525,15.16,15.375,28.745,32.005
97.32291667,14.4875,15.13,15.3675,27.9075,32
97.33333333,14.45,15.1,15.36,27.07,31.995
97.34375,14.4025,15.0675,15.35,25.72,31.995
97.35416667,14.355,15.035,15.34,24.37,31.995
97.36458333,14.2725,14.9975,15.315,23.725,31.99
97.375,14.19,14.96,15.29,23.08,31.985
97.38541667,14.09,14.9175,15.2675,22.895,31.98
97.39583333,13.99,14.875,15.245,22.71,31.975
97.40625,13.88,14.83,15.225,22.545,31.97
97.41666667,13.77,14.785,15.205,22.38,31.965
97.42708333,13.665,14.735,15.1875,22.175,31.9625
97.4375,13.56,14.685,15.17,21.97,31.96
97.44791667,13.4575,14.63,15.1425,21.8675,31.955
97.45833333,13.355,14.575,15.115,21.765,31.95
97.46875,13.265,14.515,15.0825,22.3025,31.945
97.47916667,13.175,14.455,15.05,22.84,31.94
97.48958333,13.125,14.4025,15.0225,23.595,31.935
97.5,13.075,14.35,14.995,24.35,31.93
97.51041667,13.06,14.3075,14.9675,24.2575,31.925
97.52083333,13.045,14.265,14.94,24.165,31.92
97.53125,13.05,14.2275,14.915,25.4125,31.92
97.54166667,13.055,14.19,14.89,26.66,31.92
97.55208333,13.07,14.16,14.865,26.535,31.9175
97.5625,13.085,14.13,14.84,26.41,31.915
97.57291667,13.1175,14.1125,14.82,26.205,31.915
97.58333333,13.15,14.095,14.8,26,31.915
97.59375,13.185,14.0825,14.7775,26.83,31.915
97.60416667,13.22,14.07,14.755,27.66,31.915
97.61458333,13.26,14.06,14.735,30.5225,31.9125
97.625,13.3,14.05,14.715,33.385,31.91
97.63541667,13.3425,14.0475,14.7,33.04,31.905
97.64583333,13.385,14.045,14.685,32.695,31.9
97.65625,13.4375,14.045,14.665,34.4,31.895
97.66666667,13.49,14.045,14.645,36.105,31.89
97.67708333,13.5675,14.0575,14.64,35.3725,31.885
97.6875,13.645,14.07,14.635,34.64,31.88
97.69791667,13.715,14.085,14.625,34.1775,31.875
97.70833333,13.785,14.1,14.615,33.715,31.87
97.71875,13.8675,14.1225,14.6125,33.3575,31.86
97.72916667,13.95,14.145,14.61,33,31.85
97.73958333,14.05,14.185,14.615,32.4275,31.84
97.75,14.15,14.225,14.62,31.855,31.83
97.76041667,14.2525,14.2575,14.6325,31.3925,31.8225
97.77083333,14.355,14.29,14.645,30.93,31.815
97.78125,14.48,14.3325,14.655,30.4325,31.8025
97.79166667,14.605,14.375,14.665,29.935,31.79
97.80208333,14.7575,14.415,14.665,29.2125,31.7675
97.8125,14.91,14.455,14.665,28.49,31.745
97.82291667,15.135,14.5075,14.6725,27.8225,31.73
97.83333333,15.36,14.56,14.68,27.155,31.715
97.84375,15.59,14.635,14.7,27.095,31.695
97.85416667,15.82,14.71,14.72,27.035,31.675
97.86458333,15.9625,14.7725,14.715,26.1475,31.66
97.875,16.105,14.835,14.71,25.26,31.645
97.88541667,16.185,14.9175,14.7325,25.06,31.6375
97.89583333,16.265,15,14.755,24.86,31.63
97.90625,16.2975,15.065,14.78,24.5775,31.625
97.91666667,16.33,15.13,14.805,24.295,31.62
97.92708333,16.3425,15.18,14.8275,24.5425,31.6125
97.9375,16.355,15.23,14.85,24.79,31.605
97.94791667,16.3575,15.2825,14.88,24.56,31.6025
97.95833333,16.36,15.335,14.91,24.33,31.6
97.96875,16.34,15.3775,14.945,23.715,31.5975
97.97916667,16.32,15.42,14.98,23.1,31.595
97.98958333,16.3,15.4675,15.0275,22.6275,31.595
98,16.28,15.515,15.075,22.155,31.595
98.01041667,16.2375,15.545,15.1125,21.1975,31.5975
98.02083333,16.195,15.575,15.15,20.24,31.6
98.03125,16.1325,15.5775,15.17,19.54,31.6
98.04166667,16.07,15.58,15.19,18.84,31.6
98.05208333,15.9775,15.56,15.195,18.5225,31.6025
98.0625,15.885,15.54,15.2,18.205,31.605
98.07291667,15.795,15.52,15.1925,18.14,31.6025
98.08333333,15.705,15.5,15.185,18.075,31.6
98.09375,15.615,15.48,15.1925,18.035,31.6025
98.10416667,15.525,15.46,15.2,17.995,31.605
98.11458333,15.4275,15.435,15.2025,18.1075,31.605
98.125,15.33,15.41,15.205,18.22,31.605
98.13541667,15.2475,15.3775,15.2025,18.175,31.6025
98.14583333,15.165,15.345,15.2,18.13,31.6
98.15625,15.085,15.31,15.1925,18.54,31.5975
98.16666667,15.005,15.275,15.185,18.95,31.595
98.17708333,14.9375,15.2375,15.1775,19.3325,31.595
98.1875,14.87,15.2,15.17,19.715,31.595
98.19791667,14.82,15.1675,15.16,20.5525,31.5925
98.20833333,14.77,15.135,15.15,21.39,31.59
98.21875,14.7275,15.1075,15.145,21.8875,31.59
98.22916667,14.685,15.08,15.14,22.385,31.59
98.23958333,14.65,15.05,15.13,22.75,31.5875
98.25,14.615,15.02,15.12,23.115,31.585
98.26041667,14.585,14.9925,15.105,24.0325,31.585
98.27083333,14.555,14.965,15.09,24.95,31.585
