date_local,doy_utc,doy_local,T_air_avg,T_air_std,swc_avg,swc_std,soil_temp_avg,soil_temp_std,cos_a,co2_a,h2o_a,fcos_lower,fcos_corr,fcos_upper,fco2,fh2o
3/31/12 21:05,92.087,91.879,16.11,0.137,0.203,0.002,18.9,0,426.1,436,20.4,-0.624101087,-0.448649879,-0.273198671,23.056,-0.164
3/31/12 23:05,92.17,91.962,16.71,0.092,0.203,0.002,18.6,0,450.8,416.9,19.3,0.449390543,0.630664887,0.811939231,18.316,0.052
4/1/12 1:05,92.253,92.045,16.48,0.032,0.202,0,18.2,0.018,429.3,419,20,0.195687319,0.374582711,0.553478103,18.785,-0.114
4/1/12 3:05,92.337,92.129,14.65,0.601,0.203,0.001,17.37,0.127,451.5,421.8,19.2,0.098938903,0.265022679,0.431106455,20.399,-0.215
4/1/12 5:05,92.42,92.212,14.48,0.217,0.199,0,16.74,0.049,417.3,428.2,14.5,-1.134604175,-0.969209497,-0.803814819,20.421,-0.269
4/1/12 7:05,92.503,92.295,15.68,0.126,0.199,0,17,0.011,441.7,410,16.3,-1.282337361,-1.110321085,-0.93830481,19.298,-0.218
4/1/12 9:05,92.587,92.379,19.12,0.422,0.2,0.002,18.09,0.158,433.5,382.4,21.2,0.967919992,1.186608333,1.405296673,18.91,0.013
4/1/12 11:05,92.67,92.462,28.55,1.767,0.202,0.002,20.25,0.197,477.6,367.2,18.3,3.718200112,4.457014146,5.195828179,17.424,1.299
4/1/12 13:05,92.753,92.545,30.84,0.971,0.199,0,21.96,0.12,481.8,358.2,17.6,7.546784855,8.566914201,9.587043547,18.007,1.761
4/1/12 15:05,92.837,92.629,33.32,1.793,0.197,0.002,22.83,0.067,488.9,356.3,20.2,4.39853377,5.836471114,7.274408457,19.319,1.384
4/1/12 17:05,92.92,92.712,27.86,0.87,0.194,0.002,22.5,0.1,495,358.1,19.9,4.857642293,5.527666277,6.197690261,19.76,1.079
4/1/12 19:05,93.003,92.795,23.19,0.347,0.191,0,21.56,0.117,495.3,363,20.9,3.49718491,3.847967209,4.198749509,20.375,0.646
4/1/12 21:05,93.087,92.879,20.08,0.506,0.192,0.001,20.24,0.091,502.7,388.4,20.3,1.204050492,1.445021308,1.685992123,20.283,0.329
4/1/12 23:05,93.17,92.962,20.01,0.245,0.192,0.001,19.93,0.074,508.7,383.3,21,0.674224785,0.913408719,1.152592653,19.29,0.187
4/2/12 1:05,93.253,93.045,18.99,0.122,0.189,0,19.5,0.021,519.8,382.2,21.5,0.90540226,1.121426957,1.337451653,19.358,0.012
4/2/12 3:05,93.337,93.129,18.52,0.191,0.19,0,19.11,0.033,490.2,383.4,21.5,-0.100929449,0.106125497,0.313180442,19.097,-0.043
4/2/12 5:05,93.42,93.212,18.99,0.149,0.188,0.001,19.12,0.058,517.6,378.4,21.7,0.2302306,0.446255296,0.662279993,18.968,-0.038
4/2/12 7:05,93.503,93.295,18.52,0.119,0.19,0,19.02,0.097,501.2,377.6,21.8,0.171445605,0.378500551,0.585555496,19.433,-0.091
4/2/12 9:05,93.587,93.379,20.76,0.577,0.19,0,19.52,0.103,488.1,369.1,20.7,1.121359209,1.38110633,1.640853451,17.818,0.374
4/2/12 11:05,93.67,93.462,29.31,1.208,0.191,0.001,21.58,0.154,463.8,364.3,21.1,3.23768868,4.060335973,4.882983266,17.175,0.889
4/2/12 13:05,93.753,93.545,30.5,0.658,0.188,0.001,23.24,0.131,492.4,361.5,21.1,7.515827312,8.488506942,9.461186572,18.435,1.481
4/2/12 15:05,93.837,93.629,29.43,0.134,0.188,0.002,23.7,0,496.6,362.9,20,6.83172736,7.668431187,8.505135015,20.033,1.573
4/2/12 17:05,93.92,93.712,25.82,0.067,0.188,0.001,23.02,0.083,470.1,358.4,19.4,4.633507906,5.135911752,5.638315597,19.786,1.297
4/2/12 19:05,94.003,93.796,22.1,0.039,0.183,0.002,21.62,0.097,451.8,367.4,20.2,2.924879805,3.229820873,3.53476194,19.6,0.731
4/2/12 21:05,94.087,93.879,18.25,0.011,0.184,0.002,20.28,0.114,477.7,397.1,20.1,1.280494669,1.482848224,1.68520178,21.482,0.242
4/2/12 23:05,94.17,93.962,18.2,0.014,0.181,0,19.46,0.078,484.6,379.8,18.5,0.755069066,0.956586982,1.158104898,19.427,0.44
4/3/12 1:05,94.253,94.046,16.18,0.012,0.182,0,18.6,0.011,491.8,390.3,16.6,0.197776408,0.373843815,0.549911222,17.108,0.439
4/3/12 3:05,94.337,94.129,14.09,0.018,0.18,0,17.19,0.12,483.1,390.9,14.8,-1.081485118,-0.917381834,-0.753278549,17.185,0.361
4/3/12 5:05,94.42,94.212,13.82,0.003,0.178,0,16.36,0.109,491.9,389.9,13.6,-0.165957733,-0.002520801,0.160916132,6.322,0.499
4/3/12 7:05,94.503,94.296,12.75,0.021,0.178,0.001,15.8,0,442.1,410.3,14.2,-5.553889057,-5.391396172,-5.228903287,10.746,0.209
4/3/12 9:05,94.587,94.379,15.23,0.014,0.177,0.001,16.24,0.057,516.4,385.5,13.9,-3.067439167,-2.898398103,-2.72935704,6.744,0.636
4/3/12 11:05,94.67,94.462,16.11,0.016,0.188,0.021,17.02,0.232,400.6,385.2,15,-2.368017957,-2.192566749,-2.017115541,-0.023,0.036
4/3/12 13:05,94.753,94.546,15.28,0.011,0.287,0.001,16.37,0.165,390.4,382.1,15.7,0.925575379,1.094916841,1.264258303,13.33,0.33
4/3/12 15:05,94.837,94.629,16.91,0.013,0.307,0.002,17.34,0.114,420,369.4,17.7,0.330983133,0.514479544,0.697975955,17.966,0.333
4/3/12 17:05,94.92,94.712,18.56,0.006,0.306,0.002,18.21,0.046,327.9,355.6,18.7,2.730074973,2.937853942,3.145632911,20.206,0.484
4/3/12 19:05,95.003,94.796,16.71,0.009,0.298,0.001,17.69,0.042,403.5,373.9,17.7,0.828179009,1.009453353,1.190727697,17.968,0.326
4/3/12 21:05,95.087,94.879,15.43,0.009,0.292,0.002,17,0,404,407.5,17.5,-0.379567085,-0.209279648,-0.038992211,19.753,0.122
4/3/12 23:05,95.17,94.962,15.45,0.003,0.287,0.002,16.8,0,362,411.8,17.7,0.132882006,0.303300697,0.473719388,22.603,0.081
4/4/12 1:05,95.253,95.046,14.35,0.005,0.298,0.001,16.3,0,416.5,411.5,16.5,0.699950994,0.864870999,1.029791004,20.28,0.045
4/4/12 3:05,95.337,95.129,14.39,0,0.298,0.001,16.23,0.052,463.8,399.4,15.6,-0.943920778,-0.778859491,-0.613798204,20.855,0.201
4/4/12 5:05,95.42,95.212,13.51,0.011,0.293,0.001,15.57,0.101,445.1,396.3,14.4,-0.80008817,-0.637196291,-0.474304413,19.203,0.244
4/4/12 7:05,95.503,95.296,12.22,0.017,0.291,0.001,14.68,0.045,412.4,394.5,13.2,-2.371702963,-2.208755398,-2.045807833,17.888,0.247
4/4/12 9:05,95.587,95.379,12.87,0.024,0.286,0.001,14.65,0.05,400,384,13.1,-0.66108735,-0.498616242,-0.336145135,17.645,0.392
4/4/12 11:05,95.67,95.462,15.48,0.022,0.285,0.001,15.82,0.123,384.9,376.8,13.8,-0.543477019,-0.372859167,-0.202241315,19.962,0.696
4/4/12 13:05,95.753,95.546,21.34,0.059,0.274,0.001,18.67,0.099,488.4,370.2,14.4,1.669197164,1.947103575,2.225009987,16.885,1.708
4/4/12 15:05,95.837,95.629,21.72,0.056,0.267,0.002,18.95,0.087,407.5,371,13.1,1.699123259,1.990069903,2.281016546,16.548,1.587
4/4/12 17:05,95.92,95.712,18.98,0.007,0.252,0.003,18.44,0.088,407.5,364.4,13.7,0.944331813,1.160154954,1.375978095,15.465,1.196
4/4/12 19:09,96.006,95.799,16.17,0.003,0.244,0.002,17.29,0.111,403.2,377.8,13.9,0.590120396,0.766098776,0.942077156,17.461,0.79
4/4/12 21:09,96.09,95.882,12.83,0.011,0.241,0.002,15.51,0.112,359.4,411.8,13.3,-3.972371258,-3.809896314,-3.647421371,5.531,0.372
4/4/12 23:09,96.173,95.965,9.61,0.031,0.237,0.001,13.34,0.049,389.9,438.1,11.6,-2.780763464,-2.608223181,-2.435682899,14.975,0.063
4/5/12 1:09,96.256,96.049,11.47,0.02,0.235,0.001,13.75,0.076,417.6,413.3,13.7,-2.208802033,-2.044274235,-1.879746436,13.793,0.132
4/5/12 3:09,96.34,96.132,10.98,0.011,0.232,0,13.55,0.134,415.5,414.7,13.1,-2.418140838,-2.252034867,-2.085928896,14.054,0.061
4/5/12 5:09,96.423,96.215,10.68,0.026,0.23,0,13.08,0.146,415.1,414.1,13.2,-2.049493224,-1.882223241,-1.714953259,13.568,0.125
4/5/12 7:09,96.506,96.299,11.9,0.01,0.23,0,13.73,0.045,425.6,404.8,13.7,-2.565864516,-2.40237173,-2.238878945,13.614,0.21
4/5/12 9:09,96.59,96.382,12.78,0.003,0.229,0.001,14.22,0.116,442.4,389.3,14,-1.337428129,-1.174943571,-1.012459012,14.062,0.286
4/5/12 11:09,96.673,96.465,18.96,0.026,0.229,0.002,17.41,0.101,425.5,376.6,15,1.174010054,1.389431507,1.60485296,12.905,1.022
4/5/12 13:09,96.756,96.549,19.61,0.025,0.225,0.002,17.7,0.163,409.6,375,15,-0.000391601,0.229080493,0.458552587,11.059,0.949
4/5/12 15:09,96.84,96.632,17.25,0.014,0.221,0.001,16.94,0.092,422.1,378.1,14.9,0.089063652,0.276675937,0.464288223,11.913,0.665
