TOA5,CR800_okl,CR800,8817,CR800.Std.07,CPU:chamber_COS_OK.CR8,29261
TIMESTAMP,RECORD,BattV_Avg,soil_moist_Avg,soil_moist_Std,soil_temp_C_Avg,soil_temp_C_Std
TS,RN,Volts,wfv,wfv,deg_c,deg_c
,,Avg,Avg,Std,Avg,Std
1/04/12 1:00,0,12.24,0.204,0.001,20.29,0.038
1/04/12 1:30,1,12.25,0.205,0.001,19.87,0.195
1/04/12 2:00,2,12.25,0.203,0.001,19.25,0.159
1/04/12 2:30,0,12.25,0.203,0.002,18.9,0
1/04/12 3:00,1,12.25,0.202,0.001,18.77,0.139
1/04/12 3:30,2,12.25,0.203,0,18.6,0
1/04/12 4:00,3,12.25,0.203,0.001,18.6,0
1/04/12 4:30,4,12.25,0.203,0.002,18.6,0
1/04/12 5:00,5,12.25,0.2,0,18.51,0.099
1/04/12 5:30,6,12.25,0.202,0.001,18.4,0
1/04/12 6:00,7,12.25,0.202,0,18.27,0.095
1/04/12 6:30,8,12.25,0.202,0,18.2,0.018
1/04/12 7:00,9,12.25,0.203,0.002,18.04,0.076
1/04/12 7:30,10,12.25,0.201,0.001,17.83,0.139
1/04/12 8:00,11,12.25,0.201,0.001,17.51,0.05
1/04/12 8:30,12,12.25,0.203,0.001,17.37,0.127
1/04/12 9:00,13,12.25,0.199,0.001,16.89,0.124
1/04/12 9:30,14,12.25,0.201,0.001,16.78,0.038
1/04/12 10:00,15,12.25,0.201,0.002,16.7,0.012
1/04/12 10:30,16,12.25,0.199,0,16.74,0.049
1/04/12 11:00,17,12.25,0.199,0,16.8,0.018
1/04/12 11:30,18,12.25,0.199,0,16.82,0.057
1/04/12 12:00,19,12.25,0.199,0,16.95,0.089
1/04/12 12:30,20,12.25,0.199,0,17,0.011
1/04/12 13:00,21,12.25,0.199,0,17.01,0.048
1/04/12 13:30,22,12.25,0.199,0,17.24,0.055
1/04/12 14:00,23,12.25,0.2,0.001,17.6,0.166
1/04/12 14:30,24,12.25,0.2,0.002,18.09,0.158
1/04/12 15:00,25,12.25,0.203,0,18.62,0.158
1/04/12 15:30,26,12.25,0.202,0.001,19.14,0.151
1/04/12 16:00,27,12.25,0.202,0.001,19.64,0.166
1/04/12 16:30,28,12.25,0.202,0.002,20.25,0.197
1/04/12 17:00,29,12.25,0.199,0.001,20.81,0.147
1/04/12 17:30,30,12.25,0.199,0,21.19,0.101
1/04/12 18:00,31,12.25,0.199,0,21.54,0.147
1/04/12 18:30,32,12.25,0.199,0,21.96,0.12
1/04/12 19:00,33,12.25,0.197,0.002,22.44,0.102
1/04/12 19:30,34,12.25,0.196,0.001,22.67,0.096
1/04/12 20:00,35,12.25,0.197,0,22.8,0.011
1/04/12 20:30,36,12.25,0.197,0.002,22.83,0.067
1/04/12 21:00,37,12.25,0.196,0,22.82,0.055
1/04/12 21:30,38,12.25,0.195,0.002,22.77,0.069
1/04/12 22:00,39,12.25,0.195,0.002,22.6,0.015
1/04/12 22:30,40,12.25,0.194,0.002,22.5,0.1
1/04/12 23:00,41,12.25,0.194,0,22.4,0.035
1/04/12 23:30,42,12.25,0.194,0.001,22.13,0.122
2/04/12 0:00,43,12.25,0.191,0.001,21.85,0.089
2/04/12 0:30,44,12.25,0.191,0,21.56,0.117
2/04/12 1:00,45,12.25,0.193,0.002,21.18,0.103
2/04/12 1:30,46,12.25,0.192,0.002,20.78,0.119
2/04/12 2:00,47,12.25,0.192,0,20.42,0.104
2/04/12 2:30,48,12.25,0.192,0.001,20.24,0.091
2/04/12 3:00,49,12.25,0.189,0.001,20.24,0.091
2/04/12 3:30,50,12.25,0.19,0.001,20.11,0.034
2/04/12 4:00,51,12.25,0.191,0.001,20.1,0.021
2/04/12 4:30,52,12.25,0.192,0.001,19.93,0.074
2/04/12 5:00,53,12.25,0.193,0,19.89,0.049
2/04/12 5:30,54,12.25,0.193,0,19.72,0.058
2/04/12 6:00,55,12.25,0.19,0.002,19.66,0.076
2/04/12 6:30,56,12.25,0.189,0,19.5,0.021
2/04/12 7:00,57,12.25,0.19,0,19.45,0.085
2/04/12 7:30,58,12.25,0.19,0,19.3,0.015
2/04/12 8:00,59,12.25,0.19,0,19.28,0.066
2/04/12 8:30,60,12.25,0.19,0,19.11,0.033
2/04/12 9:00,61,12.25,0.188,0.002,19.11,0.034
2/04/12 9:30,62,12.25,0.187,0.001,19.25,0.087
2/04/12 10:00,63,12.25,0.188,0.001,19.23,0.096
2/04/12 10:30,64,12.25,0.188,0.001,19.12,0.058
2/04/12 11:00,65,12.25,0.189,0.001,19.1,0.011
2/04/12 11:30,66,12.25,0.19,0.001,19.1,0
2/04/12 12:00,67,12.25,0.19,0.001,19.1,0.018
2/04/12 12:30,68,12.25,0.19,0,19.02,0.097
2/04/12 13:00,69,12.25,0.19,0,19,0.1
2/04/12 13:30,70,12.25,0.19,0,19.1,0.018
2/04/12 14:00,71,12.25,0.19,0,19.24,0.093
2/04/12 14:30,72,12.25,0.19,0,19.52,0.103
2/04/12 15:00,73,12.25,0.19,0,19.95,0.179
2/04/12 15:30,74,12.25,0.19,0,20.49,0.162
2/04/12 16:00,75,12.25,0.19,0.001,21.04,0.167
2/04/12 16:30,76,12.25,0.191,0.001,21.58,0.154
2/04/12 17:00,77,12.24,0.191,0.001,22,0.141
2/04/12 17:30,78,12.24,0.189,0.002,22.48,0.104
2/04/12 18:00,79,12.24,0.188,0.001,22.84,0.12
2/04/12 18:30,80,12.24,0.188,0.001,23.24,0.131
2/04/12 19:00,81,12.24,0.188,0.001,23.61,0.102
2/04/12 19:30,82,12.24,0.188,0.001,23.7,0.018
2/04/12 20:00,0,12.24,0.188,0.002,23.7,0
2/04/12 20:30,1,12.24,0.188,0.002,23.7,0
2/04/12 21:00,2,12.24,0.187,0.001,23.69,0.036
2/04/12 21:30,3,12.24,0.187,0.002,23.51,0.049
2/04/12 22:00,4,12.24,0.186,0.002,23.32,0.082
2/04/12 22:30,5,12.24,0.188,0.001,23.02,0.083
2/04/12 23:00,6,12.24,0.186,0.002,22.72,0.182
2/04/12 23:30,7,12.24,0.184,0.001,22.01,0.209
3/04/12 0:00,8,12.24,0.185,0.002,21.71,0.033
3/04/12 0:30,9,12.24,0.183,0.002,21.62,0.097
3/04/12 1:00,10,12.24,0.186,0.001,21.27,0.138
3/04/12 1:30,11,12.24,0.184,0.002,20.95,0.125
3/04/12 2:00,12,12.25,0.182,0.001,20.62,0.1
3/04/12 2:30,13,12.25,0.184,0.002,20.28,0.114
3/04/12 3:00,14,12.25,0.182,0.002,20.04,0.09
3/04/12 3:30,15,12.25,0.184,0,19.8,0.1
3/04/12 4:00,16,12.25,0.183,0.002,19.52,0.062
3/04/12 4:30,17,12.25,0.181,0,19.46,0.078
3/04/12 5:00,18,12.25,0.182,0.001,19.23,0.095
3/04/12 5:30,19,12.25,0.182,0.002,19,0.1
3/04/12 6:00,20,12.25,0.181,0.001,18.69,0.126
3/04/12 6:30,21,12.25,0.182,0,18.6,0.011
3/04/12 7:00,22,12.25,0.181,0.002,18.34,0.165
3/04/12 7:30,23,12.25,0.181,0.002,17.9,0.102
3/04/12 8:00,24,12.25,0.18,0.002,17.59,0.13
3/04/12 8:30,25,12.25,0.18,0,17.19,0.12
3/04/12 9:00,26,12.25,0.178,0.002,16.68,0.138
3/04/12 9:30,27,12.25,0.178,0.002,16.49,0.04
3/04/12 10:00,28,12.25,0.178,0,16.5,0
3/04/12 10:30,29,12.25,0.178,0,16.36,0.109
3/04/12 11:00,30,12.25,0.179,0.002,15.97,0.136
3/04/12 11:30,31,12.25,0.175,0,15.93,0.097
3/04/12 12:00,32,12.25,0.177,0.001,15.96,0.078
3/04/12 12:30,33,12.25,0.178,0.001,15.8,0
3/04/12 13:00,34,12.25,0.179,0,15.8,0.015
3/04/12 13:30,35,12.25,0.177,0.002,15.81,0.039
3/04/12 14:00,36,12.25,0.176,0,15.95,0.092
3/04/12 14:30,37,12.24,0.177,0.001,16.24,0.057
3/04/12 15:00,38,12.24,0.176,0.002,16.44,0.093
3/04/12 15:30,39,12.24,0.176,0.001,16.56,0.134
3/04/12 16:00,40,12.25,0.176,0.002,17.08,0.141
3/04/12 16:30,41,12.25,0.188,0.021,17.02,0.232
3/04/12 17:00,42,12.25,0.247,0.003,16.47,0.077
3/04/12 17:30,43,12.25,0.248,0.008,16.27,0.047
3/04/12 18:00,44,12.24,0.28,0.005,16.03,0.088
3/04/12 18:30,45,12.25,0.287,0.001,16.37,0.165
3/04/12 19:00,46,12.25,0.287,0.001,17.06,0.224
3/04/12 19:30,47,12.25,0.29,0.001,17.25,0.05
3/04/12 20:00,48,12.25,0.297,0.004,17.19,0.033
3/04/12 20:30,49,12.24,0.307,0.002,17.34,0.114
3/04/12 21:00,50,12.25,0.311,0.001,17.85,0.123
3/04/12 21:30,51,12.25,0.309,0,18.1,0.1
3/04/12 22:00,52,12.25,0.308,0.001,18.24,0.082
3/04/12 22:30,53,12.25,0.306,0.002,18.21,0.046
3/04/12 23:00,54,12.25,0.304,0.001,18.08,0.098
3/04/12 23:30,55,12.25,0.302,0.002,17.94,0.05
4/04/12 0:00,56,12.25,0.3,0.001,17.81,0.099
4/04/12 0:30,57,12.25,0.298,0.001,17.69,0.042
4/04/12 1:00,58,12.25,0.296,0.002,17.42,0.102
4/04/12 1:30,59,12.25,0.294,0.001,17.19,0.079
4/04/12 2:00,60,12.25,0.293,0.002,17,0.031
4/04/12 2:30,61,12.25,0.292,0.002,17,0
4/04/12 3:00,62,12.25,0.289,0.001,16.98,0.061
4/04/12 3:30,63,12.25,0.289,0.002,16.98,0.055
4/04/12 4:00,64,12.25,0.287,0.001,16.89,0.1
4/04/12 4:30,65,12.25,0.287,0.002,16.8,0
4/04/12 5:00,66,12.25,0.291,0.003,16.77,0.047
4/04/12 5:30,67,12.25,0.296,0.002,16.69,0.041
4/04/12 6:00,68,12.25,0.298,0.001,16.43,0.103
4/04/12 6:30,69,12.25,0.298,0.001,16.3,0
4/04/12 7:00,70,12.25,0.297,0.001,16.29,0.027
4/04/12 7:30,71,12.25,0.296,0,16.3,0
4/04/12 8:00,72,12.25,0.296,0.001,16.3,0
4/04/12 8:30,73,12.25,0.298,0.001,16.23,0.052
4/04/12 9:00,74,12.25,0.296,0,16.01,0.056
4/04/12 9:30,75,12.25,0.297,0.001,15.83,0.075
4/04/12 10:00,76,12.25,0.295,0.001,15.74,0.049
4/04/12 10:30,77,12.25,0.293,0.001,15.57,0.101
4/04/12 11:00,78,12.25,0.293,0.001,15.37,0.072
4/04/12 11:30,79,12.25,0.293,0.001,15.08,0.102
4/04/12 12:00,80,12.25,0.29,0.001,14.88,0.072
4/04/12 12:30,81,12.25,0.291,0.001,14.68,0.045
4/04/12 13:00,82,12.25,0.289,0.002,14.6,0
4/04/12 13:30,83,12.25,0.289,0.002,14.6,0
4/04/12 14:00,84,12.25,0.287,0.001,14.47,0.095
4/04/12 14:30,85,12.25,0.286,0.001,14.65,0.05
4/04/12 15:00,86,12.25,0.286,0.002,14.73,0.082
4/04/12 15:30,87,12.25,0.286,0.001,14.99,0.1
4/04/12 16:00,88,12.25,0.285,0.001,15.49,0.16
4/04/12 16:30,89,12.25,0.285,0.001,15.82,0.123
4/04/12 17:00,90,12.25,0.278,0.003,16.3,0.225
4/04/12 17:30,91,12.25,0.276,0.001,17.21,0.3
4/04/12 18:00,92,12.25,0.275,0.002,18.22,0.318
4/04/12 18:30,93,12.25,0.274,0.001,18.67,0.099
4/04/12 19:00,94,12.25,0.273,0.001,18.9,0.065
4/04/12 19:30,95,12.25,0.27,0.001,18.93,0.081
4/04/12 20:00,96,12.25,0.269,0.001,19.03,0.096
4/04/12 20:30,97,12.25,0.267,0.002,18.95,0.087
4/04/12 21:00,98,12.25,0.265,0.001,18.9,0.023
4/04/12 21:30,99,12.25,0.262,0.001,18.66,0.109
4/04/12 22:00,100,12.25,0.26,0.001,18.41,0.128
4/04/12 22:30,101,12.25,0.252,0.003,18.44,0.088
4/04/12 23:00,102,12.25,0.249,0.002,18.29,0.101
4/04/12 23:30,103,12.25,0.247,0.001,18.03,0.106
5/04/12 0:00,104,12.25,0.246,0.001,17.74,0.139
5/04/12 0:30,105,12.25,0.244,0.002,17.29,0.111
5/04/12 1:00,106,12.25,0.243,0.001,16.86,0.121
5/04/12 1:30,107,12.25,0.244,0.001,16.52,0.14
5/04/12 2:00,108,12.25,0.241,0.001,16.07,0.195
5/04/12 2:30,109,12.24,0.241,0.002,15.51,0.112
5/04/12 3:00,110,12.25,0.24,0.001,14.98,0.204
5/04/12 3:30,111,12.25,0.239,0.001,14.27,0.193
5/04/12 4:00,112,12.25,0.237,0.001,13.67,0.181
5/04/12 4:30,113,12.25,0.237,0.001,13.34,0.049
5/04/12 5:00,114,12.25,0.235,0.002,13.3,0
5/04/12 5:30,115,12.25,0.235,0.002,13.32,0.039
5/04/12 6:00,116,12.25,0.234,0,13.44,0.051
5/04/12 6:30,117,12.25,0.235,0.001,13.75,0.076
5/04/12 7:00,118,12.25,0.234,0.001,13.82,0.065
5/04/12 7:30,119,12.25,0.235,0,14.01,0.025
