doy_loc	ChmTair_C_Avg	ChmTair_C_Std	soil_moist_Avg	soil_moist_Std	soil_temp_C_Avg	soil_temp_C_Std	sample	comment
91.795	18.610	0.087	0.203	0.002	18.900	0.000	ch1	reg
91.879	16.110	0.137	0.203	0.002	18.900	0.000	ch1	reg
91.962	16.710	0.092	0.203	0.002	18.600	0.000	ch1	reg
92.045	16.480	0.032	0.202	0	18.200	0.018	ch1	reg
92.129	14.650	0.601	0.203	0.001	17.370	0.127	ch1	reg
92.212	14.480	0.217	0.199	0	16.740	0.049	ch1	reg
92.295	15.680	0.126	0.199	0	17.000	0.011	ch1	reg
92.379	19.120	0.422	0.2	0.002	18.090	0.158	ch1	reg
92.462	28.550	1.767	0.202	0.002	20.250	0.197	ch1	reg
92.545	30.840	0.971	0.199	0	21.960	0.120	ch1	reg
92.629	33.320	1.793	0.197	0.002	22.830	0.067	ch1	reg
92.712	27.860	0.87	0.194	0.002	22.500	0.100	ch1	reg
92.795	23.190	0.347	0.191	0	21.560	0.117	ch1	reg
92.879	20.080	0.506	0.192	0.001	20.240	0.091	ch1	reg
92.962	20.010	0.245	0.192	0.001	19.930	0.074	ch1	reg
93.045	18.990	0.122	0.189	0	19.500	0.021	ch1	reg
93.129	18.520	0.191	0.19	0	19.110	0.033	ch1	reg
93.212	18.990	0.149	0.188	0.001	19.120	0.058	ch1	reg
93.295	18.520	0.119	0.19	0	19.020	0.097	ch1	reg
93.379	20.760	0.577	0.19	0	19.520	0.103	ch1	reg
93.462	29.310	1.208	0.191	0.001	21.580	0.154	ch1	reg
93.545	30.500	0.658	0.188	0.001	23.240	0.131	ch1	reg
93.629	29.430	0.134	0.188	0.002	23.700	0.000	ch1	reg
93.712	25.820	0.067	0.188	0.001	23.020	0.083	ch1	reg
93.796	22.100	0.039	0.183	0.002	21.620	0.097	ch1	reg
93.879	18.250	0.011	0.184	0.002	20.280	0.114	ch1	reg
93.962	18.200	0.014	0.181	0	19.460	0.078	ch1	reg
94.046	16.180	0.012	0.182	0	18.600	0.011	ch1	reg
94.129	14.090	0.018	0.18	0	17.190	0.120	ch1	reg
94.212	13.820	0.003	0.178	0	16.360	0.109	ch1	reg
94.296	12.750	0.021	0.178	0.001	15.800	0.000	ch1	reg
94.379	15.230	0.014	0.177	0.001	16.240	0.057	ch1	reg
94.462	16.110	0.016	0.188	0.021	17.020	0.232	ch1	reg
94.546	15.280	0.011	0.287	0.001	16.370	0.165	ch1	reg
94.629	16.910	0.013	0.307	0.002	17.340	0.114	ch1	reg
94.712	18.560	0.006	0.306	0.002	18.210	0.046	ch1	reg
94.796	16.710	0.009	0.298	0.001	17.690	0.042	ch1	reg
94.879	15.430	0.009	0.292	0.002	17.000	0.000	ch1	reg
94.962	15.450	0.003	0.287	0.002	16.800	0.000	ch1	reg
95.046	14.350	0.005	0.298	0.001	16.300	0.000	ch1	reg
95.129	14.390	0	0.298	0.001	16.230	0.052	ch1	reg
95.212	13.510	0.011	0.293	0.001	15.570	0.101	ch1	reg
95.296	12.220	0.017	0.291	0.001	14.680	0.045	ch1	reg
95.379	12.870	0.024	0.286	0.001	14.650	0.050	ch1	reg
95.462	15.480	0.022	0.285	0.001	15.820	0.123	ch1	rep
95.472	16.200	0.045	0.285	0.001	15.820	0.123	ch2	rep
95.478	16.990	0.057	0.285	0.001	15.820	0.123	ch3	rep
95.546	21.340	0.059	0.274	0.001	18.670	0.099	ch1	rep
95.555	22.660	0.044	0.274	0.001	18.670	0.099	ch2	rep
95.560	24.960	0.141	0.274	0.001	18.670	0.099	ch3	rep
95.629	21.720	0.056	0.267	0.002	18.950	0.087	ch1	rep
95.638	22.600	0.025	0.267	0.002	18.950	0.087	ch2	rep
95.644	23.100	0.009	0.267	0.002	18.950	0.087	ch3	rep
95.712	18.980	0.007	0.252	0.003	18.440	0.088	ch1	rep
95.722	20.720	0.017	0.252	0.003	18.440	0.088	ch2	rep
95.728	20.430	0.014	0.252	0.003	18.440	0.088	ch3	rep
95.799	16.170	0.003	0.244	0.002	17.290	0.111	ch1	rep
95.803	16.180	0	0.244	0.002	17.290	0.111	ch2	rep
95.808	16.250	0	0.244	0.002	17.290	0.111	ch3	rep
95.882	12.830	0.011	0.241	0.002	15.510	0.112	ch1	rep
95.887	12.820	0.01	0.241	0.002	15.510	0.112	ch2	rep
95.893	12.930	0.039	0.241	0.002	15.510	0.112	ch3	rep
95.965	9.610	0.031	0.237	0.001	13.340	0.049	ch1	reg
96.049	11.470	0.02	0.235	0.001	13.750	0.076	ch1	reg
96.132	10.980	0.011	0.232	0	13.550	0.134	ch1	reg
96.215	10.680	0.026	0.23	0	13.080	0.146	ch1	reg
96.299	11.900	0.01	0.23	0	13.730	0.045	ch1	reg
96.382	12.780	0.003	0.229	0.001	14.220	0.116	ch1	rep
96.387	12.970	0.007	0.229	0.001	14.220	0.116	ch2	rep
96.392	13.340	0.011	0.229	0.001	14.220	0.116	ch3	rep
96.465	18.960	0.026	0.229	0.002	17.410	0.101	ch1	rep
96.470	19.570	0.009	0.229	0.002	17.410	0.101	ch2	rep
96.476	19.610	0.011	0.229	0.002	17.410	0.101	ch3	rep
96.549	19.610	0.025	0.225	0.002	17.700	0.163	ch1	rep
96.554	20.870	0.011	0.225	0.002	17.700	0.163	ch2	rep
96.559	20.560	0.032	0.225	0.002	17.700	0.163	ch3	rep
96.632	17.250	0.014	0.221	0.001	16.940	0.092	ch1	rep
96.637	17.740	0.023	0.221	0.001	16.940	0.092	ch2	rep
96.642	17.830	0.009	0.221	0.001	16.940	0.092	ch3	rep
96.715	17.220	0.018	0.218	0.002	16.820	0.062	ch1	rep
96.720	17.950	0.015	0.218	0.002	16.820	0.062	ch2	rep
96.725	18.150	0	0.218	0.002	16.820	0.062	ch3	rep
96.799	15.950	0.013	0.214	0.002	16.330	0.086	ch1	reg
96.804	15.700	0.009	0.214	0.002	16.330	0.086	blank	FEP, shaded
96.809	15.560	0.01	0.214	0.002	16.330	0.086	blank	FEP, shaded
96.882	14.040	0.007	0.213	0.002	15.500	0.016	ch1	reg
96.887	13.910	0.008	0.213	0.002	15.500	0.016	blank	FEP, shaded
96.893	13.830	0.007	0.213	0.002	15.500	0.016	blank	FEP, shaded
96.965	13.410	0.008	0.211	0	15.010	0.046	blank	overnight
97.049	10.860	0.017	0.209	0.001	13.960	0.184	blank	overnight
97.132	10.520	0	0.206	0.001	13.400	0.068	blank	overnight
97.215	6.157	0.023	0.205	0.001	11.490	0.102	blank	overnight
97.299	8.750	0.018	0.203	0	11.790	0.149	blank	overnight
97.382	11.290	0.011	0.204	0.001	12.840	0.080	ch1	rep
97.387	11.570	0.017	0.204	0.001	12.840	0.080	ch2	rep
97.392	11.810	0.012	0.204	0.001	12.840	0.080	ch3	rep
97.465	14.790	0.028	0.202	0.002	14.210	0.201	ch1	reg
97.470	15.430	0.01	0.202	0.002	14.210	0.201	root	r1
97.474	15.240	0.003	0.202	0.002	14.210	0.201	root	r1rep
97.478	15.490	0.01	0.202	0.002	14.210	0.201	blank	FEP+silicon
97.549	17.250	0.007	0.202	0.001	15.870	0.138	ch1	reg
97.553	17.920	0.019	0.202	0.001	15.870	0.138	blank	FEP+silicon
97.558	17.490	0.022	0.202	0.001	15.870	0.138	root	r2
97.632	21.520	0.055	0.199	0.001	17.250	0.053	ch1	reg
97.637	21.630	0.011	0.199	0.001	17.250	0.053	blank	FEP, shaded
97.643	27.440	0.066	0.199	0.001	17.250	0.053	blank	FEP, unshaded
97.715	19.840	0.057	0.196	0.001	17.300	0.014	ch1	reg
97.720	19.470	0.022	0.196	0.001	17.300	0.014	blank	FEP+silicon
97.725	19.110	0.019	0.196	0.001	17.300	0.014	root	r3
97.799	16.580	0.021	0.195	0.001	16.630	0.097	ch1	reg
97.803	16.420	0.012	0.195	0.001	16.630	0.097	blank	FEP+silicon
97.809	16.060	0.02	0.195	0.001	16.630	0.097	root	r4
97.882	12.760	0.01	0.191	0.002	15.040	0.165	ch1	reg
97.965	11.530	0.011	0.191	0.002	14.240	0.091	ch1	reg
98.049	12.090	0.01	0.191	0.001	14.160	0.093	ch1	reg
98.132	14.250	0.001	0.239	0.001	14.770	0.094	ch1	reg
98.465	16.840	0.011	0.25	0.001	16.390	0.099	ch1	reg
98.549	16.260	0.01	0.246	0.002	16.530	0.072	ch1	reg
98.632	21.010	0.029	0.241	0.001	18.180	0.163	ch1	reg
98.715	20.330	0.053	0.235	0.001	18.410	0.068	ch1	reg
98.799	15.530	0.009	0.227	0.002	16.330	0.202	ch1	reg
98.882	9.660	0.029	0.223	0.002	13.460	0.111	ch1	reg
98.965	8.520	0.026	0.218	0.002	12.330	0.070	ch1	reg
99.049	7.112	0.019	0.216	0.001	11.230	0.155	ch1	reg
99.132	4.828	0.033	0.214	0.001	9.660	0.062	ch1	reg
99.215	4.338	0.037	0.212	0.001	9.010	0.041	ch1	reg
99.299	4.209	0.035	0.21	0	8.780	0.112	ch1	reg
99.382	9.700	0.016	0.211	0.001	10.580	0.320	ch1	reg
99.385	NaN	NaN	NaN	NaN	NaN	NaN	soil	bad
99.385	NaN	NaN	NaN	NaN	NaN	NaN	soil	bad
99.390	10.790	0.021	0.211	0.001	10.580	0.320	soil	s1
99.394	11.480	0.025	0.211	0.001	10.580	0.320	blank	not noted
