doy_local,solar_rad,soil_temp_5cm,soil_temp_10cm,soil_temp_20cm,soil_temp_50cm
84,0,18.64,20.38,20.57,18.6
84.00694444,0,18.49,20.26,20.54,18.59
84.01388889,0,18.36,20.15,20.51,18.59
84.02083333,0,18.22,20.04,20.49,18.6
84.02777778,0,18.08,19.94,20.47,18.59
84.03472222,0,17.94,19.82,20.45,18.6
84.04166667,0,17.81,19.72,20.43,18.6
84.04861111,0,17.68,19.62,20.41,18.61
84.05555556,0,17.54,19.52,20.38,18.6
84.0625,0,17.42,19.42,20.36,18.6
84.06944444,0,17.29,19.31,20.33,18.61
84.07638889,0,17.15,19.21,20.31,18.62
84.08333333,0,17.04,19.12,20.29,18.62
84.09027778,0,16.92,19.02,20.26,18.62
84.09722222,0,16.81,18.93,20.24,18.64
84.10416667,0,16.71,18.84,20.21,18.63
84.11111111,0,16.59,18.73,20.17,18.63
84.11805556,0,16.47,18.63,20.13,18.62
84.125,0,16.37,18.54,20.11,18.63
84.13194444,0,16.29,18.47,20.09,18.65
84.13888889,0,16.19,18.39,20.06,18.65
84.14583333,0,16.1,18.3,20.04,18.65
84.15277778,0,16,18.22,20.01,18.65
84.15972222,0,15.91,18.13,19.99,18.66
84.16666667,0,15.81,18.05,19.95,18.67
84.17361111,0,15.72,17.96,19.92,18.67
84.18055556,0,15.63,17.89,19.89,18.68
84.1875,0,15.55,17.81,19.86,18.69
84.19444444,0,15.49,17.75,19.84,18.69
84.20138889,0,15.41,17.66,19.8,18.7
84.20833333,0,15.33,17.6,19.78,18.7
84.21527778,0,15.25,17.52,19.75,18.7
84.22222222,0,15.16,17.44,19.71,18.7
84.22916667,0,15.09,17.37,19.67,18.71
84.23611111,0,15.01,17.3,19.64,18.7
84.24305556,7,14.93,17.23,19.62,18.71
84.25,14,14.85,17.17,19.6,18.72
84.25694444,15,14.79,17.11,19.56,18.73
84.26388889,27,14.72,17.04,19.54,18.74
84.27083333,27,14.66,16.97,19.5,18.74
84.27777778,40,14.61,16.91,19.48,18.75
84.28472222,125,14.58,16.86,19.48,18.8
84.29166667,174,14.6,16.86,19.61,18.96
84.29861111,221,14.58,16.81,19.66,19.05
84.30555556,244,14.58,16.76,19.67,19.08
84.3125,253,14.61,16.71,19.63,19.08
84.31944444,293,14.67,16.64,19.55,19.04
84.32638889,312,14.78,16.61,19.5,19.02
84.33333333,355,14.95,16.6,19.45,19.01
84.34027778,250,15.1,16.57,19.4,18.99
84.34722222,279,15.28,16.55,19.28,18.91
84.35416667,478,15.51,16.58,19.25,18.91
84.36111111,524,15.76,16.64,19.3,18.99
84.36805556,520,16.02,16.67,19.29,19.01
84.375,607,16.33,16.73,19.26,19.01
84.38194444,543,16.68,16.8,19.22,19.01
84.38888889,616,17.08,16.87,19.16,18.98
84.39583333,608,17.51,16.97,19.11,18.96
84.40277778,648,17.95,17.1,19.06,18.94
84.40972222,641,18.42,17.23,19.03,18.93
84.41666667,745,18.91,17.39,18.99,18.91
84.42361111,723,19.39,17.56,18.94,18.88
84.43055556,743,19.88,17.74,18.91,18.87
84.4375,790,20.38,17.95,18.89,18.87
84.44444444,787,20.88,18.17,18.87,18.87
84.45138889,807,21.37,18.38,18.84,18.86
84.45833333,739,21.86,18.6,18.81,18.83
84.46527778,686,22.32,18.81,18.76,18.81
84.47222222,680,22.78,19.05,18.75,18.79
84.47916667,776,23.19,19.3,18.72,18.78
84.48611111,776,23.6,19.56,18.75,18.8
84.49305556,863,23.99,19.83,18.78,18.82
84.5,776,24.39,20.07,18.77,18.81
84.50694444,727,24.81,20.3,18.76,18.8
84.51388889,746,25.22,20.55,18.77,18.79
84.52083333,719,25.61,20.8,18.77,18.79
84.52777778,743,25.97,21.05,18.79,18.78
84.53472222,635,26.32,21.3,18.82,18.8
84.54166667,681,26.65,21.56,18.86,18.81
84.54861111,732,26.98,21.81,18.89,18.81
84.55555556,717,27.26,22.04,18.92,18.81
84.5625,504,27.55,22.27,18.95,18.81
84.56944444,670,27.8,22.5,18.97,18.81
84.57638889,644,27.99,22.71,19.01,18.8
84.58333333,700,28.07,22.92,19.03,18.78
84.59027778,433,28.1,23.11,19.07,18.79
84.59722222,391,28.09,23.25,19.08,18.75
84.60416667,307,28.11,23.4,19.09,18.71
84.61111111,322,28.11,23.53,19.14,18.71
84.61805556,383,28.06,23.65,19.19,18.71
84.625,425,28,23.76,19.26,18.73
84.63194444,498,27.94,23.85,19.32,18.74
84.63888889,386,27.91,23.95,19.39,18.76
84.64583333,426,27.91,24.02,19.44,18.76
84.65277778,405,27.92,24.08,19.48,18.76
84.65972222,330,27.95,24.14,19.53,18.73
84.66666667,298,27.95,24.19,19.57,18.72
84.67361111,197,27.95,24.25,19.61,18.7
84.68055556,145,27.92,24.31,19.66,18.7
84.6875,135,27.85,24.36,19.7,18.7
84.69444444,131,27.74,24.39,19.74,18.69
84.70138889,116,27.59,24.42,19.8,18.69
84.70833333,103,27.4,24.43,19.85,18.68
84.71527778,91,27.2,24.42,19.89,18.68
84.72222222,75,26.99,24.4,19.93,18.67
84.72916667,63,26.78,24.38,19.99,18.68
84.73611111,80,26.57,24.36,20.04,18.69
84.74305556,66,26.33,24.31,20.08,18.69
84.75,28,26.08,24.25,20.11,18.68
84.75694444,21,25.82,24.18,20.15,18.68
84.76388889,2,25.57,24.1,20.19,18.67
84.77083333,0,25.27,24.03,20.21,18.65
84.77777778,0,25.01,23.93,20.25,18.66
84.78472222,0,24.72,23.83,20.28,18.65
84.79166667,0,24.44,23.72,20.32,18.64
84.79861111,0,24.15,23.61,20.35,18.64
84.80555556,0,23.87,23.5,20.38,18.65
84.8125,0,23.57,23.37,20.41,18.64
84.81944444,0,23.29,23.24,20.43,18.64
84.82638889,0,23.01,23.11,20.45,18.64
84.83333333,0,22.74,22.97,20.48,18.64
84.84027778,0,22.47,22.84,20.5,18.64
84.84722222,0,22.21,22.71,20.52,18.65
84.85416667,0,21.96,22.57,20.54,18.65
84.86111111,0,21.73,22.43,20.55,18.65
84.86805556,0,21.5,22.3,20.56,18.65
84.875,0,21.28,22.16,20.57,18.65
84.88194444,0,21.07,22.02,20.58,18.65
84.88888889,0,20.86,21.89,20.59,18.66
84.89583333,0,20.66,21.75,20.59,18.66
84.90277778,0,20.46,21.63,20.6,18.66
84.90972222,0,20.27,21.5,20.6,18.67
84.91666667,0,20.1,21.37,20.6,18.67
84.92361111,0,19.91,21.25,20.6,18.68
84.93055556,0,19.74,21.12,20.6,18.68
84.9375,0,19.57,21,20.6,18.69
84.94444444,0,19.41,20.89,20.59,18.7
84.95138889,0,19.25,20.78,20.59,18.71
